gene,case_missense_mpc_2,control_missense_mpc_2,sample_missense_mpc_2,pval_missense_mpc_2,OR_missense_mpc_2,lowci_missense_mpc_2,highci_missense_mpc_2
ABCC9,28,64,92,0.656927817949881,0.8867612545666218,0.5465270227393265,1.4055429595879518
ABCD1,3,15,18,0.20852555267038794,0.4053095326371889,0.07516429151330567,1.4339484675189575
ABCD3,2,10,12,0.35842439206481297,0.405463516367958,0.043177219498606256,1.9039815403528761
ABCE1,2,11,13,0.24279946013809464,0.3685582869752677,0.03967775561180568,1.6899442644565985
ABCF1,21,30,51,0.23310530874904145,1.4224015961843304,0.7729094460771214,2.5722824669407975
ABCF3,82,123,205,0.0357619291766146,1.360139220408676,1.0128665003506427,1.8183747442705835
ABCG1,27,84,111,0.05388244482934702,0.6496647131272659,0.4039602059880929,1.0148576613311857
ABCG2,108,194,302,0.32127602346648537,1.1330952724185421,0.8841326281320593,1.4460108554770061
ABCG4,92,222,314,0.1621232784995118,0.8368774070513478,0.6469627939843312,1.075373588443195
ABCG5,94,167,261,0.3180371804658813,1.1454339361621375,0.8772479468454337,1.488303901286843
ABHD11,22,32,54,0.24637931746725739,1.3970132374251842,0.7722546932100102,2.483813851122725
ABHD12B,26,54,80,0.9999999999999998,0.9766195143445774,0.5860638348645817,1.5897641419500697
ABHD14B,46,84,130,0.5742243052387042,1.1122913501752336,0.7573242897332501,1.6157824938770622
ABHD16A,31,34,65,0.01652632072943729,1.8565714118495273,1.1016061303044977,3.118000485650924
ABHD17A,7,11,18,0.6198640749085216,1.2914635756006039,0.4241596209636434,3.6514457288245086
ABHD3,4,10,14,0.9999999999999993,0.8113288709114521,0.18561925178830843,2.8150912810747237
ABI1,10,17,27,0.6839122572442883,1.1938336644107277,0.48803020293547,2.7638184367206815
ABI2,24,37,61,0.3390626613612744,1.3178222526179835,0.7530725079446016,2.266040105803448
ABI3,18,27,45,0.34163888844672263,1.3541479453295184,0.701537045658838,2.5542082083190714
ABI3BP,165,255,420,0.005980723683419543,1.326567769822946,1.0796351178806334,1.626544266014632
ABL1,2,3,5,0.6676448300058453,1.352681163414069,0.11290990395630233,11.810079668459114
ABLIM1,121,258,379,0.6975652017647799,0.9498894212906961,0.7561970202094093,1.1878366882279106
ABLIM2,56,96,152,0.3395694319327915,1.1860871155244677,0.8354134729102997,1.670260028006698
ABLIM3,100,224,324,0.4361996932452431,0.9031872111188654,0.7039010412366628,1.1522632948380196
ABR,13,30,43,0.7482464776831321,0.8787222931468298,0.4202161012821632,1.7385228051428177
ABTB1,43,77,120,0.49654073223766837,1.1344012346732801,0.7607460335962973,1.672206729893963
AC002401.1,0,0,0,,,,
AC002550.5,0,0,0,,,,
AC004381.6,45,119,164,0.1327843229264114,0.7644160799094983,0.5287769005677475,1.0883726622672827
AC005324.6,0,0,0,,,,
AC009065.1,4,8,12,0.9999999999999999,1.0143837656262462,0.22339094247984448,3.7890942368411524
AC009303.1,0,0,0,,,,
AC010327.2,1,0,1,0.33017175083311967,inf,0.052018464830419324,inf
AC011530.4,0,2,2,1.0,0.0,0.0,10.79990352458474
AC012379.1,0,0,0,,,,
AC018816.3,1,1,2,0.5513490158118259,2.0289181396024274,0.025841350361913974,159.09232933227528
AC025263.3,1,5,6,0.6707416596800942,0.4056174204057831,0.008577246761065613,3.626725343699869
AC026407.1,1,0,1,0.33017175083311967,inf,0.052018464830419324,inf
AC027763.2,14,46,60,0.12980364205113593,0.6160707313946421,0.3123747453078125,1.1422332609340369
AC034228.2,0,0,0,,,,
AC046143.3,0,0,0,,,,
AC068499.10,0,0,0,,,,
AC073342.12,0,0,0,,,,
AC073610.5,1,3,4,0.9999999999999998,0.6761794432770978,0.012881146261914512,8.424766244846516
AC079210.1,1,5,6,0.6707416596800942,0.4056174204057831,0.008577246761065613,3.626725343699869
AC087645.1,2,0,2,0.108994485854413,inf,0.3810289196999768,inf
AC103809.2,0,0,0,,,,
AC110615.1,0,0,0,,,,
ACAA1,31,47,78,0.22693039740833237,1.3408478634736527,0.8220399100426353,2.1590587633477023
ACACA,20,50,70,0.5239798319128759,0.8105444200278948,0.45634775314803366,1.3885545510351955
ACACB,323,626,949,0.49398149239724204,1.0510324341597723,0.9106014916593005,1.2114315507348727
ACAD10,131,343,474,0.010957331037911787,0.766919233143625,0.6198194841207157,0.9444498895852527
ACAD11,84,147,231,0.28923895847888087,1.162784506658722,0.875970585673018,1.5352021122282393
ACAD8,28,39,67,0.1510598238435562,1.459842929137147,0.8637343208174338,2.437825398048292
ACAD9,66,107,173,0.16592247453250802,1.2556738437371164,0.9073127217471656,1.7270549311851449
ACADM,103,197,300,0.6193044344519516,1.0623608040258652,0.8260877312941193,1.3596104234230728
ACADS,26,39,65,0.23560470308144466,1.3548859238507553,0.7906296533854206,2.286419910878788
ACADSB,29,48,77,0.39586090356433234,1.2273476624334518,0.7450232739338075,1.989859066267761
ACADVL,104,174,278,0.12137740877631496,1.2184071969029742,0.9432344204362463,1.5675826933512704
ACAN,261,443,704,0.02055948203858684,1.2093572390866438,1.0284739597911996,1.4199866242469232
ACAP1,0,4,4,0.30953679369434733,0.0,0.0,3.0731969451652636
ACAP2,13,36,49,0.36518216593089753,0.7316992826192368,0.3556403328904205,1.4148406295018332
ACAP3,44,65,109,0.10258650284157056,1.3775995607941345,0.9157079668929778,2.0553297810877176
ACAT1,26,31,57,0.04811247358463786,1.7062255774040263,0.9715513151679084,2.974228006044208
ACAT2,1,2,3,0.9999999999999999,1.0143725927892047,0.0171943168231569,19.498984920552154
ACBD4,23,28,51,0.07354341318671125,1.6704063209584616,0.9177167689018809,3.011786786556066
ACBD5,21,33,54,0.3848143923310451,1.2925252281204904,0.7096562410620556,2.3052536919694773
ACBD6,13,16,29,0.2342334986433611,1.6504916769861897,0.7295297322542748,3.663794506443808
ACCS,62,84,146,0.01668037787645082,1.5054844161587106,1.063846505999205,2.1205451417688983
ACD,45,121,166,0.11415119963808514,0.7515924563896914,0.5203206684267578,1.0691242066616091
ACE,229,448,677,0.6434938615443362,1.0393140258681648,0.8780483728754818,1.2277301721173517
ACER2,10,9,19,0.08636820180995111,2.257255271077535,0.823553919395058,6.284022265167712
ACHE,3,2,5,0.33995518690032767,3.0443613995111147,0.3485850272371702,36.48612398803831
ACIN1,86,174,260,1.000000000000001,1.0027655739152221,0.7629148536062555,1.309838880214995
