gene,case_missense_mpc_2,control_missense_mpc_2,sample_missense_mpc_2,pval_missense_mpc_2,OR_missense_mpc_2,lowci_missense_mpc_2,highci_missense_mpc_2
EPHX3,33,72,105,0.7558457486354836,0.9292357477686104,0.5948637352090598,1.4245274920188415
EPHX4,8,19,27,0.8387931168492514,0.853919344198807,0.32308892634318703,2.045042150584644
EPM2A,30,86,116,0.11222622412388952,0.7054279128677176,0.4484385113704895,1.0823675625974727
EPM2AIP1,29,49,78,0.4687549858094191,1.202153085930206,0.7310247745458477,1.9447122496619362
EPN1,31,92,123,0.06720350767297764,0.6810545576644831,0.43716889101980816,1.0353522093122487
EPN2,42,70,112,0.31386410302965456,1.2195779556982738,0.8097747816458519,1.8171907371148213
EPN3,169,354,523,0.7394288310371118,0.9670779388799986,0.7969047516697824,1.170058750224475
EPO,94,224,318,0.20417004088444066,0.8476589867805052,0.6568439179771076,1.0868989833518008
EPOR,158,351,509,0.35989547077857875,0.9095154401408144,0.7458379794426976,1.1052779055841202
EPPIN-WFDC6,64,206,270,0.0008211429879437918,0.6240803968214844,0.46257575827886765,0.8323550776243817
EPPK1,439,881,1320,0.8521382572359291,1.0123110926592476,0.8942347534219973,1.1448078833048325
EPRS,75,102,177,0.009758681259810977,1.5014242947863286,1.09627111575527,2.048401645094063
EPS15,52,131,183,0.20487587435695764,0.8026792041867984,0.5691547682653983,1.1176514297906355
EPS15L1,45,79,124,0.4432872799277548,1.157411475656742,0.7825432398749443,1.6936659217067804
EPS8,238,515,753,0.4006128241754826,0.9334484900898141,0.7929940292405693,1.0964311835303082
EPS8L1,21,48,69,0.7016025030060525,0.8869674338262885,0.5036923701108906,1.5125243670025525
EPS8L2,32,43,75,0.08435253970558874,1.513985328567057,0.9255532404528606,2.453263567802327
EPS8L3,114,166,280,0.006805645230420637,1.405177113596527,1.0935671493815031,1.8003872079897
EPSTI1,21,33,54,0.3848143923310451,1.2925252281204904,0.7096562410620556,2.3052536919694773
EPT1,30,27,57,0.002672215876270389,2.2638123493580102,1.2986452454687256,3.9638618277440187
EPX,256,495,751,0.5212301666676281,1.0526857548713984,0.8969314266178018,1.2332842832773645
EPYC,51,128,179,0.20111608509651752,0.8057948565875176,0.5692625728259402,1.12586016250363
EQTN,17,26,43,0.41660342178958726,1.327830583216585,0.675244243409047,2.545714727175745
ERAL1,21,97,118,0.0002505598891632257,0.43617070934466645,0.2579617823021078,0.7057972006315546
ERAP1,76,99,175,0.004438349535026073,1.5685596218388314,1.1446279156526298,2.14219830212491
ERAP2,181,270,451,0.0012763582392553358,1.3776983739612716,1.1300690435739715,1.6764368773790026
ERAS,0,4,4,0.30953679369434733,0.0,0.0,3.0731969451652636
ERBB2,246,476,722,0.5401478397683459,1.0517494103371081,0.8933760032439205,1.2358870505404735
ERBB2IP,163,264,427,0.02407504256928025,1.2636482430505074,1.0289266796832044,1.5483539743373054
ERBB3,149,268,417,0.24338642287154538,1.1330222072818084,0.9174342176373929,1.3950699480895394
ERBB4,51,80,131,0.16098261331822566,1.2971617200557712,0.8926223987508393,1.8703365641870118
ERC1,74,116,190,0.08693966155541126,1.2998560043922622,0.9551043876667265,1.7598361152676247
ERC2,59,100,159,0.2706352941643963,1.1999640032509367,0.852608292150892,1.676085870770505
ERCC1,11,16,27,0.4152961990100129,1.395880096587211,0.5851389987867496,3.2061145771405672
ERCC2,74,103,177,0.015431336099942197,1.4664525334773242,1.069947172968554,2.001482007315022
ERCC3,71,115,186,0.135735474037621,1.2571860838417035,0.9193549872710925,1.7092965041971802
ERCC4,142,319,461,0.312603949329347,0.8993702942389845,0.7298459624141655,1.1039416947007707
ERCC5,131,251,382,0.5807577455329974,1.0608752731875772,0.8490011670130517,1.3206725016190555
ERCC6,330,612,942,0.1700182745798808,1.1026786030005737,0.9557820172084318,1.2705119563390668
ERCC6L,18,26,44,0.264675216533997,1.4063972347554898,0.7253537503767548,2.6692352980422176
ERCC6L2,34,58,92,0.43657504219815385,1.1908978943241273,0.7546778806417933,1.853187025327524
ERCC8,60,133,193,0.5898939508045062,0.9138871468230316,0.6605180579974679,1.251969540046197
EREG,12,21,33,0.7121338804855775,1.1597420444965942,0.5195723831288799,2.4710647007148956
ERF,23,63,86,0.24991988631451426,0.7390971072098127,0.43677966934045764,1.2106951463513207
ERG,9,19,28,0.9999999999999997,0.9608957399636561,0.3824757815915438,2.2311627791559854
ERGIC1,39,65,104,0.34626550025008096,1.2194057567217915,0.7965215442149249,1.8451872238428606
ERGIC2,7,11,18,0.6198640749085216,1.2914635756006039,0.4241596209636434,3.6514457288245086
ERGIC3,21,14,35,0.0016899994406391636,3.0539361065103625,1.4791935150985565,6.500266814596055
ERH,0,0,0,,,,
ERI1,73,180,253,0.1763164106262054,0.8193822465275837,0.6137186637157722,1.0844539930538302
ERI2,20,49,69,0.5227975627397434,0.8271861050926338,0.4650298467069941,1.4198873970785775
ERI3,8,18,26,1.0,0.901463421662663,0.338843911446072,2.181309005387583
ERICH1,54,92,146,0.32997308787093593,1.1934417342581454,0.8346537185219273,1.6921357125932817
ERLEC1,35,90,125,0.25187019000570887,0.7870644179434285,0.5157364121490703,1.1775328527100188
ERLIN1,8,8,16,0.18296619894273222,2.0307854486715335,0.6637961150673642,6.2124788934263355
ERLIN2,5,17,22,0.36994131536781344,0.5961856502471441,0.1718717381451054,1.6851347324738324
ERMAP,111,189,300,0.15244484579588582,1.1970999330170407,0.9351696754522733,1.5264895170365398
ERMARD,106,224,330,0.7666641151747648,0.9588965174193111,0.7512020411553527,1.2177345020952481
ERMN,44,87,131,0.9256044834316832,1.0263421853671049,0.6958921556122818,1.4947566187044765
ERMP1,116,263,379,0.318226397658623,0.8915575694738264,0.7077654093221284,1.1175615271365917
ERN1,46,77,123,0.33501139246135725,1.2144769103380937,0.8222020135896702,1.7764668292998973
ERN2,176,315,491,0.18555278281095863,1.1398611141762058,0.9383986897192367,1.3811752750340605
ERO1L,15,51,66,0.08741013956206212,0.595136509801025,0.3103701382282754,1.0768954124682883
ERO1LB,79,101,180,0.0023260053066221685,1.5990401815464894,1.1727333150734,2.1737463095232616
ERP27,26,68,94,0.32154337789065385,0.7741580696291684,0.4719638440642064,1.2352423552788994
ERP29,9,23,32,0.7070774862009477,0.7934084515943497,0.32278764344953526,1.7818366145439966
ERP44,46,78,124,0.3378911538401865,1.1987569268328626,0.8122623729330177,1.751625822200128
ERRFI1,34,48,82,0.12481457951404783,1.440887258608229,0.898761737360629,2.287078050414472
ERV3-1,30,59,89,0.910075373674693,1.0318319677296741,0.640619373346797,1.630679007662986
ERVFRD-1,13,38,51,0.29732550641566496,0.6930255355459591,0.33832992479881663,1.3319025588552258
ERVW-1,60,203,263,0.00032409229282099835,0.5933327304286908,0.4360513897756724,0.7972721497043029
ESAM,75,115,190,0.061827653086871985,1.3294977905005796,0.9776986528522635,1.798730865396918
ESCO1,92,174,266,0.5979381104600274,1.0744240622815733,0.8227248291200476,1.395594227258862
ESCO2,84,146,230,0.2576845448275121,1.1708988646966594,0.8818242721740275,1.5465133497440917
ESD,8,8,16,0.18296619894273222,2.0307854486715335,0.6637961150673642,6.2124788934263355
ESF1,62,127,189,1.0000000000000009,0.9902462270495735,0.7169452846691878,1.3555654193797626
ESM1,12,13,25,0.1351978099977893,1.8753615791521259,0.7813051604696907,4.4626681597916855
ESPL1,191,309,500,0.013133305224402305,1.2671485448945505,1.0478193584583537,1.5295160049266325
ESPN,50,69,119,0.03959128499560384,1.4762399809173412,1.0025677082143367,2.160247229040663
ESPNL,153,455,608,1.6878921128013674e-05,0.6691057893255061,0.5510521735417597,0.8089202428309039
ESR1,86,251,337,0.0026969694356627064,0.6881816955012848,0.5306269176199067,0.8854643292377506
ESR2,25,51,76,0.9999999999999996,0.9944383322795805,0.5894212451952782,1.6377853725491034
ESRP1,47,71,118,0.1162442620812254,1.3471984425834638,0.90951290639417,1.9793214267177448
ESRP2,52,81,133,0.13839267430348323,1.3064389629470612,0.9019795447045669,1.8779902928472167
ESRRA,40,68,108,0.41085272000756584,1.1953541735107978,0.7863943719946798,1.7960061480906742
ESRRB,66,122,188,0.5326529790434501,1.099189914920051,0.7999558576172618,1.499046939255019
ESRRG,5,14,19,0.631832799274725,0.7241971463821821,0.20399421705376575,2.12977232253389
ESX1,5,22,27,0.15006445816186686,0.4604021052604695,0.1360992736157734,1.247246815247006
ESYT1,107,197,304,0.42203119393511923,1.1047858295227977,0.8618803504331005,1.4098709596432597
ESYT2,147,334,481,0.25496151164088515,0.888644180753081,0.7239637045430184,1.0866235996424896
ESYT3,101,243,344,0.14619873232222264,0.8390354283105331,0.6563586434783281,1.0661533472093772
ETAA1,33,64,97,0.8289393891610403,1.0464540881165745,0.6646225568235026,1.6201507839988212
ETF1,3,3,6,0.4036187918150712,2.029450965679079,0.27168517495293276,15.1641955057073
ETFA,25,34,59,0.12866661197931747,1.4948948183197535,0.853648939219275,2.5846028423146796
ETFB,134,335,469,0.039803677389505944,0.8047616161802096,0.6510675258459839,0.9901423218130878
ETFDH,25,40,65,0.35627436451870714,1.2696353098770854,0.737038397547442,2.148420078343989
ETHE1,19,23,42,0.1008700109019229,1.679205860169377,0.8636066223487102,3.2278196779688044
ETNK1,61,141,202,0.4074470441401983,0.8757307630189475,0.6359155760680797,1.193899518062361
ETNK2,39,78,117,0.9216596770238771,1.0145154101124474,0.6710070317759284,1.511804010589673
ETNPPL,26,54,80,0.9999999999999998,0.9766195143445774,0.5860638348645817,1.5897641419500697
ETS1,71,158,229,0.5702977417819022,0.9099991639447224,0.6759041385523193,1.215053881945671
ETS2,28,79,107,0.14816373224286838,0.7170074848495532,0.44764512924778427,1.118272340390749
ETV1,13,15,28,0.15815492451185126,1.7607508118101045,0.7701947366718814,3.9712727498043314
ETV2,17,36,53,0.9999999999999999,0.9578280648990055,0.50383069005243,1.7525179437238736
ETV3,1,6,7,0.437574472739008,0.33797470037422433,0.007349277109992818,2.787187601248132
ETV3L,159,305,464,0.5795737715861063,1.0600641642887008,0.8660105730056397,1.2937087355848182
ETV4,42,87,129,1.0000000000000002,0.9791601012644383,0.659397316636585,1.4341136439034814
ETV5,28,62,90,0.7370877545546651,0.9155964638850483,0.5630972707619112,1.4552332025738122
ETV6,87,185,272,0.7445995443884368,0.9529931652152176,0.7277268277994436,1.24005417708061
ETV7,116,219,335,0.5174189230713528,1.0768762403440655,0.8493470492231242,1.359696017470121
EVA1A,16,36,52,0.770116942122766,0.9012586266501257,0.4663370992386676,1.668454930466941
EVA1B,13,79,92,4.938608457287092e-05,0.33161724252069824,0.16893959771103503,0.6012093717021906
EVA1C,21,30,51,0.23310530874904145,1.4224015961843304,0.7729094460771214,2.5722824669407975
EVC,372,605,977,0.0005613268944217798,1.2737081827898258,1.1093520946938749,1.4610839654898387
EVC2,236,473,709,0.8692043924539719,1.0130179018643337,0.8584179783738951,1.1930147293080013
EVI2A,108,240,348,0.45208669054990247,0.9104335283979474,0.7161572197495821,1.15136535552098
EVI2B,31,42,73,0.1037682059445814,1.5013969614683254,0.9109198737105755,2.4500179248494254
