gene,case_missense_mpc_2,control_missense_mpc_2,sample_missense_mpc_2,pval_missense_mpc_2,OR_missense_mpc_2,lowci_missense_mpc_2,highci_missense_mpc_2
MPPED2,7,4,11,0.048768273158484074,3.554709175621221,0.9029579297966838,16.563763233979895
MPRIP,49,91,140,0.6513477447353885,1.0935665750936212,0.7547406841542498,1.568056728846457
MPST,18,28,46,0.4321772714169974,1.3055269439915604,0.6792317607098302,2.4484581518108666
MPV17,3,8,11,0.9999999999999999,0.7605784984620851,0.12991222252402948,3.171122107279845
MPV17L,0,2,2,1.0,0.0,0.0,10.79990352458474
MPV17L2,3,14,17,0.20735675695250955,0.43431404232057524,0.07997859781489952,1.5574550579933357
MPZ,8,9,17,0.30052768030657756,1.8049733197400428,0.605423454432244,5.274938126263572
MPZL1,4,5,9,0.4893629224557851,1.6235915115810744,0.32198688694002103,7.54774349569157
MPZL2,52,79,131,0.11207782323085008,1.3399565193401046,0.9234756317014388,1.9299628464735663
MPZL3,32,39,71,0.04188932316420022,1.670107546855896,1.011095883354076,2.7401862165160287
MR1,61,92,153,0.08309233582284745,1.3506846130573456,0.9584916928085122,1.8917671253098634
MRAP,6,13,19,1.0,0.9362425406011246,0.29157500932237035,2.6427343420816207
MRAP2,2,9,11,0.35812366135381274,0.4505698786259907,0.04735311836431078,2.178385117930657
MRAS,4,9,13,0.9999999999999998,0.9015655012744614,0.20275241979869071,3.2325794378038295
MRC2,88,163,251,0.4977334565103749,1.097471527800812,0.8344734212767106,1.4354151391076144
MRE11A,20,33,53,0.4666419094235622,1.2306763306298463,0.668275779830396,2.212507553092901
MREG,2,3,5,0.6676448300058453,1.352681163414069,0.11290990395630233,11.810079668459114
MRFAP1,6,10,16,0.7911365108573414,1.21752924478266,0.3634067404195337,3.700472938809345
MRFAP1L1,48,75,123,0.17684690322885518,1.3020616702187753,0.8850264313571593,1.899698543095869
MRGBP,0,3,3,0.5555283985377909,0.0,0.0,4.909881158898293
MRGPRE,28,44,72,0.31471207378025334,1.2930589609313063,0.7739557670614728,2.127715598564375
MRGPRF,5,2,7,0.04342349700549921,5.076199316491638,0.830613896732438,53.304646764125096
MRGPRX1,189,275,464,0.0004111962615822565,1.4145653067167998,1.1641028683704115,1.7159635409495753
