gene,case_missense_mpc_2,control_missense_mpc_2,sample_missense_mpc_2,pval_missense_mpc_2,OR_missense_mpc_2,lowci_missense_mpc_2,highci_missense_mpc_2
CSNK1G1,16,30,46,0.875301549220878,1.0823189838987088,0.5502843111269402,2.0526643861064864
CSNK1G2,51,115,166,0.5613537847597236,0.8983665787280701,0.6314390973096065,1.2629245334136086
CSNK1G3,5,6,11,0.5218838500692737,1.6914614375656956,0.4080741008822416,6.6561443499277075
CSNK2A1,1,1,2,0.5513490158118259,2.0289181396024274,0.025841350361913974,159.09232933227528
CSNK2A2,2,16,18,0.07511305810763183,0.25324886361835697,0.028227892741530262,1.0779141106731494
CSNK2B-LY6G5B-1181,0,2,2,1.0,0.0,0.0,10.79990352458474
CSRNP3,8,3,11,0.008245542552674394,5.418138072935853,1.2995367105439808,31.72976825467722
CST8,0,0,0,,,,
CSTB,13,35,48,0.4436567356010354,0.7526913471474204,0.3650019078258654,1.460251753477487
CSTF1,4,6,10,0.7385945905226379,1.3528638459489226,0.28061647306809245,5.707599797762488
CSTF3,1,8,9,0.2874077098985815,0.2534425709316825,0.005713184720530298,1.8913427326900347
CSTL1,18,6,24,3.0529330512317166e-05,6.108907962906434,2.320698358956328,18.81349413857741
CTAG2,0,1,1,0.9999999999999999,0.0,0.0,79.02388266631878
CTAGE5,310,572,882,0.1683246378346319,1.1081484110752087,0.9563494977643139,1.2822831891012747
CTB-46B19.2,0,0,0,,,,
CTB-55O6.12,0,0,0,,,,
CTBP1,12,17,29,0.33006416298717267,1.4333830544335264,0.6239258787521024,3.188435392337799
CTBP2,12,17,29,0.33006416298717267,1.4333830544335264,0.6239258787521024,3.188435392337799
CTC-360G5.8,27,37,64,0.14180510282897954,1.4837868488128851,0.8674412301831773,2.507767972462475
CTC-429P9.4,5,3,8,0.1251476350904434,3.383910754504945,0.6579800774110268,21.80118276345308
CTC-453G23.5,0,0,0,,,,
CTC-454I21.3,2,0,2,0.108994485854413,inf,0.3810289196999768,inf
CTC1,8,10,18,0.3208951396763982,1.6242383310400588,0.556550862627449,4.574778809316873
CTCF,0,0,0,,,,
CTD-2012K14.2,0,0,0,,,,
CTD-2201I18.1,0,0,0,,,,
CTD-2369P2.10,28,70,98,0.38891435863134666,0.8101497544423941,0.5022077600958111,1.2748218475177442
CTD-2587H24.5,0,0,0,,,,
CTD-3148I10.9,5,7,12,0.5464992991868801,1.4496635577595398,0.36254721263036566,5.309681023873035
CTD-3214H19.4,3,5,8,0.7242507908814891,1.2173602435350601,0.18895067136064247,6.260925435187645
CTD-3222D19.2,2,11,13,0.24279946013809464,0.3685582869752677,0.03967775561180568,1.6899442644565985
CTDNEP1,2,4,6,1.0000000000000002,1.0143763151399232,0.09170114745990235,7.0811817747290675
CTDP1,25,52,77,0.9999999999999993,0.9751688948137414,0.5788854378660268,1.602994448392682
CTDSP1,4,6,10,0.7385945905226379,1.3528638459489226,0.28061647306809245,5.707599797762488
CTDSP2,1,10,11,0.11473345245550509,0.20266539741273168,0.004672756060358031,1.4256641844149247
CTDSPL,4,1,5,0.043690056833085154,8.1207798198385,0.8032690926837996,399.203114621839
CTDSPL2,3,5,8,0.7242507908814891,1.2173602435350601,0.18895067136064247,6.260925435187645
CTH,92,149,241,0.09646746023502496,1.2587389921315288,0.9570395493705793,1.6483988908945806
CTIF,13,54,67,0.018439584621902153,0.48669615747460593,0.24332981352118072,0.9050063274682932
CTNNA1,82,176,258,0.6885865481942904,0.9440157559316247,0.7151896737274195,1.2375388870479072
CTNNA2,4,11,15,0.7856274662146077,0.7374493466135567,0.17117193510177212,2.4908211130666893
CTNNA3,75,97,172,0.00410666575011284,1.5798265322023926,1.1498380162373094,2.163431780352058
CTNNAL1,31,61,92,0.9115227948787045,1.031270981834756,0.6456267746401757,1.6173269562400743
CTNNBL1,15,30,45,1.0000000000000004,1.0144248816756565,0.5065876751388021,1.9481239961095205
CTNND1,17,47,64,0.2897626550343127,0.7326246845528208,0.393818089685412,1.3018415353257395
CTNND2,14,43,57,0.20428860574946708,0.65930291593546,0.33270174490199833,1.230412258859647
CTPS1,9,12,21,0.3570592422808396,1.5227397379496737,0.5661189949114156,3.941061470965904
CTPS2,10,14,24,0.38818562170270865,1.4502467960229004,0.5757430406999204,3.5139143044347496
CTRC,57,96,153,0.2617105782139395,1.2075780387483852,0.8524033720131706,1.6974603282045204
CTRL,17,31,48,0.7589551347086404,1.1130096244660348,0.5770396361216324,2.077204911175986
CTSA,57,98,155,0.34422120645506793,1.182635196571016,0.8358113087486676,1.6599688061846098
CTSB,35,60,95,0.4437871648141142,1.1850666230371876,0.7565246956231136,1.831238775942128
CTSC,21,27,48,0.12447525263215334,1.5810251279713974,0.8485299767723535,2.9076209950150598
CTSE,3,12,15,0.41190327750350514,0.506824511612523,0.09172726830838644,1.87954406252664
CTSF,60,144,204,0.2932979778151348,0.8428882225507273,0.6114169421407454,1.1498412077175422
CTSL,16,31,47,0.877323339321011,1.047275916278239,0.5342968438601264,1.9769203616342403
CTSS,9,15,24,0.6662833649636054,1.21769850909113,0.46941299484228355,2.972971494910761
CTSW,2,5,7,1.0000000000000002,0.8114264727671339,0.07722437069732538,4.9588532811017165
CTTN,62,115,177,0.5734184212545258,1.095265379380017,0.7889696365585788,1.5083000087925336
CTTNBP2,20,34,54,0.5624660716927747,1.194337863575568,0.6505145855044187,2.1384116688236827
CTTNBP2NL,31,78,109,0.3571609578296313,0.8047593062358723,0.511924101410549,1.2371452875746671
CTU2,43,102,145,0.4243588392733839,0.8536404881757983,0.5820269374439035,1.2333549460834001
CUL2,59,113,172,0.7440066897448447,1.0601591430184238,0.7584610197208337,1.4687912116483939
CUL3,10,21,31,1.0000000000000002,0.965995598017747,0.4057555468394409,2.145653012025635
